slug,name,location,phone,n_rooms,n_dining,n_images,has_description
hon-tam-resort,Hon Tam Resort,"Khanh Hoa, Viet Nam",+84 (258) 3597 777,9,2,46,True
vinholidays-fiesta-phu-quoc,VinHolidays Fiesta Phu Quoc,"An Giang, Viet Nam",(+84)2973550550,9,0,53,True
vinpearl-beachfront-nha-trang,Vinpearl Beachfront Nha Trang,"Khanh Hoa, Viet Nam",(+84) 258 359 9099,13,0,82,True
vinpearl-condotel-beachfront-nha-trang,Vinpearl Beachfront Nha Trang,"Khanh Hoa, Viet Nam",(+84) 258 359 9099,0,0,44,True
vinpearl-cua-hoi-resort-affiliated-by-melia,"Vinpearl Cua Hoi Resort, Affiliated by Meliá","Nghe An, Vietnam",(+84) 238 8764 888,0,0,48,True
vinpearl-cua-sot-resort-affiliated-by-melia,"Vinpearl Cua Sot Resort, Affiliated by Meliá","Ha Tinh, Vietnam",1900 23 23 28,0,0,38,True
vinpearl-empire-nha-trang-affiliated-by-melia,"Vinpearl Empire Nha Trang, Affiliated by Meliá","Nha Trang, Vietnam",+84 258 359 9888,0,0,32,True
vinpearl-ha-tinh-affiliated-by-melia,"Vinpearl Ha Tinh, Affiliated by Meliá","Ha Tinh, Viet Nam",1900232328,0,0,36,True
vinpearl-hotel-bac-ninh,Vinpearl Hotel Bac Ninh,"Kinh Bac Ward, Bac Ninh Province, Vietnam",(+84) 222 397 9888,0,0,48,True
vinpearl-luxury-nha-trang,Vinpearl Luxury Nha Trang,"Khanh Hoa, Vietnam",+84 258 359 8900,13,0,72,True
vinpearl-resort-golf-nam-hoi-an,Vinpearl Resort & Golf Nam Hoi An,"Quang Nam, Viet Nam",(+84) 235 367 6888,14,0,54,True
vinpearl-resort-nha-trang,Vinpearl Resort Nha Trang,"Khanh Hoa, Vietnam",(+84) 258 359 8222,15,0,93,True
vinpearl-resort-spa-ha-long,Vinpearl Resort & Spa Ha Long,"Quang Ninh, Viet Nam",84-203 385 7858,14,0,109,True
vinpearl-resort-spa-nha-trang-bay,Vinpearl Resort & Spa Nha Trang Bay,"Khanh Hoa, Vietnam",(+84) 258 359 8999,16,0,98,True
vinpearl-resort-spa-phu-quoc,Vinpearl Resort & Spa Phu Quoc,"Kien Giang, Viet Nam",(+84) 297 3550 550,13,0,100,True
vinpearl-wonderworld-phu-quoc,Vinpearl Wonderworld Phu Quoc,"An Giang Province, Vietnam",(+84) 2973 550 550,14,0,71,True
